id,dut,categories,test,description,inputs,result,messages
163,leaf4,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: spine2 (IP: 10.255.255.14),PASS,
164,leaf4,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet10 - Remote: spine1 Ethernet6,PASS,
165,leaf4,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet11 - Remote: spine2 Ethernet6,PASS,
166,leaf4,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet8 - Remote: leaf3 Ethernet8,PASS,
167,leaf4,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet9 - Remote: leaf3 Ethernet9,PASS,
168,leaf4,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 10.255.0.6) - Destination: leaf1 Loopback0 (IP: 10.255.0.3),PASS,
169,leaf4,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 10.255.0.6) - Destination: leaf2 Loopback0 (IP: 10.255.0.4),PASS,
170,leaf4,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 10.255.0.6) - Destination: leaf3 Loopback0 (IP: 10.255.0.5),PASS,
171,leaf4,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 10.255.0.6) - Destination: leaf4 Loopback0 (IP: 10.255.0.6),PASS,
172,leaf4,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 10.255.0.6) - Destination: spine1 Loopback0 (IP: 10.255.0.1),PASS,
173,leaf4,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 10.255.0.6) - Destination: spine2 Loopback0 (IP: 10.255.0.2),PASS,
174,leaf4,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet10 (IP: 10.255.255.13) - Destination: spine1 Ethernet6 (IP: 10.255.255.12),PASS,
175,leaf4,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet11 (IP: 10.255.255.15) - Destination: spine2 Ethernet6 (IP: 10.255.255.14),PASS,
176,leaf4,Hardware,VerifyEnvironmentCooling,Verifies the status of power supply fans and all fan trays.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentCooling test is not supported on cEOSLab
177,leaf4,Hardware,VerifyEnvironmentPower,Verifies the power supplies state and input voltage.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentPower test is not supported on cEOSLab
178,leaf4,Hardware,VerifyTemperature,Verifies if the device temperature is within acceptable limits.,,SKIPPED,VerifyTemperature test is not supported on cEOSLab
179,leaf4,Hardware,VerifyTransceiversManufacturers,Verifies if all the transceivers come from approved manufacturers.,"Accepted Manufacturers: 'Arista Networks', 'Arastra, Inc.', 'Not Present'",SKIPPED,VerifyTransceiversManufacturers test is not supported on cEOSLab
180,leaf4,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet10 - P2P_spine1_Ethernet6 = 'up',PASS,
181,leaf4,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet11 - P2P_spine2_Ethernet6 = 'up',PASS,
182,leaf4,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet2 - SERVER_leaf3-4-server1_PCI2 = 'up',PASS,
183,leaf4,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet3 - SERVER_leaf3-4-server2_PCI2 = 'up',PASS,
184,leaf4,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet8 - MLAG_leaf3_Ethernet8 = 'up',PASS,
185,leaf4,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet9 - MLAG_leaf3_Ethernet9 = 'up',PASS,
186,leaf4,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Loopback0 - ROUTER_ID = 'up',PASS,
187,leaf4,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Loopback1 - VXLAN_TUNNEL_SOURCE = 'up',PASS,
188,leaf4,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Loopback10 - DIAG_VRF_VRF10 = 'up',PASS,
189,leaf4,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Loopback11 - DIAG_VRF_VRF11 = 'up',PASS,
190,leaf4,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Port-Channel2 - SERVER_leaf3-4-server1 = 'up',PASS,
191,leaf4,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Port-Channel3 - SERVER_leaf3-4-server2_Bond1 = 'up',PASS,
192,leaf4,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Port-Channel8 - MLAG_leaf3_Port-Channel8 = 'up',PASS,
193,leaf4,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan11 - VRF10_VLAN11 = 'up',PASS,
194,leaf4,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan12 - VRF10_VLAN12 = 'up',PASS,
195,leaf4,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan21 - VRF11_VLAN21 = 'up',PASS,
196,leaf4,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan22 - VRF11_VLAN22 = 'up',PASS,
197,leaf4,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan3009 - MLAG_L3_VRF_VRF10 = 'up',PASS,
198,leaf4,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan3010 - MLAG_L3_VRF_VRF11 = 'up',PASS,
199,leaf4,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan4093 - MLAG_L3 = 'up',PASS,
200,leaf4,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan4094 - MLAG = 'up',PASS,
201,leaf4,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vxlan1 = 'up',PASS,
202,leaf4,MLAG,VerifyMlagStatus,Verifies the health status of the MLAG configuration.,,PASS,
203,leaf4,Routing,VerifyRoutingProtocolModel,Verifies the configured routing protocol model.,Routing protocol model: multi-agent,PASS,
204,leaf4,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.0.1 - Peer: spine1,PASS,
205,leaf4,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.0.2 - Peer: spine2,PASS,
206,leaf4,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.0.3 - Peer: leaf1,PASS,
207,leaf4,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.0.4 - Peer: leaf2,PASS,
208,leaf4,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.0.5 - Peer: leaf3,PASS,
209,leaf4,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.0.6 - Peer: leaf4,PASS,
210,leaf4,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.1.3 - Peer: leaf1,PASS,
211,leaf4,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.1.5 - Peer: leaf3,PASS,
212,leaf4,System,VerifyReloadCause,Verifies the last reload cause of the device.,,PASS,
213,spine1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP EVPN Peer: leaf1 (IP: 10.255.0.3),PASS,
214,spine1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP EVPN Peer: leaf2 (IP: 10.255.0.4),PASS,
215,spine1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP EVPN Peer: leaf3 (IP: 10.255.0.5),PASS,
216,spine1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP EVPN Peer: leaf4 (IP: 10.255.0.6),PASS,
217,spine1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: leaf1 (IP: 10.255.255.1),PASS,
218,spine1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: leaf2 (IP: 10.255.255.5),PASS,
219,spine1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: leaf3 (IP: 10.255.255.9),PASS,
220,spine1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: leaf4 (IP: 10.255.255.13),PASS,
221,spine1,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet3 - Remote: leaf1 Ethernet10,PASS,
222,spine1,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet4 - Remote: leaf2 Ethernet10,PASS,
223,spine1,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet5 - Remote: leaf3 Ethernet10,PASS,
224,spine1,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet6 - Remote: leaf4 Ethernet10,PASS,
225,spine1,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet3 (IP: 10.255.255.0) - Destination: leaf1 Ethernet10 (IP: 10.255.255.1),PASS,
226,spine1,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet4 (IP: 10.255.255.4) - Destination: leaf2 Ethernet10 (IP: 10.255.255.5),PASS,
227,spine1,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet5 (IP: 10.255.255.8) - Destination: leaf3 Ethernet10 (IP: 10.255.255.9),PASS,
228,spine1,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet6 (IP: 10.255.255.12) - Destination: leaf4 Ethernet10 (IP: 10.255.255.13),PASS,
229,spine1,Hardware,VerifyEnvironmentCooling,Verifies the status of power supply fans and all fan trays.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentCooling test is not supported on cEOSLab
230,spine1,Hardware,VerifyEnvironmentPower,Verifies the power supplies state and input voltage.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentPower test is not supported on cEOSLab
231,spine1,Hardware,VerifyTemperature,Verifies if the device temperature is within acceptable limits.,,SKIPPED,VerifyTemperature test is not supported on cEOSLab
232,spine1,Hardware,VerifyTransceiversManufacturers,Verifies if all the transceivers come from approved manufacturers.,"Accepted Manufacturers: 'Arista Networks', 'Arastra, Inc.', 'Not Present'",SKIPPED,VerifyTransceiversManufacturers test is not supported on cEOSLab
233,spine1,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet3 - P2P_leaf1_Ethernet10 = 'up',PASS,
234,spine1,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet4 - P2P_leaf2_Ethernet10 = 'up',PASS,
235,spine1,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet5 - P2P_leaf3_Ethernet10 = 'up',PASS,
236,spine1,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet6 - P2P_leaf4_Ethernet10 = 'up',PASS,
237,spine1,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Loopback0 - ROUTER_ID = 'up',PASS,
238,spine1,Routing,VerifyRoutingProtocolModel,Verifies the configured routing protocol model.,Routing protocol model: multi-agent,PASS,
239,spine1,System,VerifyReloadCause,Verifies the last reload cause of the device.,,PASS,
240,spine2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP EVPN Peer: leaf1 (IP: 10.255.0.3),PASS,
241,spine2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP EVPN Peer: leaf2 (IP: 10.255.0.4),PASS,
242,spine2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP EVPN Peer: leaf3 (IP: 10.255.0.5),PASS,
243,spine2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP EVPN Peer: leaf4 (IP: 10.255.0.6),PASS,
244,spine2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: leaf1 (IP: 10.255.255.3),PASS,
245,spine2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: leaf2 (IP: 10.255.255.7),PASS,
246,spine2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: leaf3 (IP: 10.255.255.11),PASS,
247,spine2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: leaf4 (IP: 10.255.255.15),PASS,
248,spine2,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet3 - Remote: leaf1 Ethernet11,PASS,
249,spine2,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet4 - Remote: leaf2 Ethernet11,PASS,
250,spine2,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet5 - Remote: leaf3 Ethernet11,PASS,
251,spine2,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet6 - Remote: leaf4 Ethernet11,PASS,
252,spine2,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet3 (IP: 10.255.255.2) - Destination: leaf1 Ethernet11 (IP: 10.255.255.3),PASS,
253,spine2,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet4 (IP: 10.255.255.6) - Destination: leaf2 Ethernet11 (IP: 10.255.255.7),PASS,
254,spine2,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet5 (IP: 10.255.255.10) - Destination: leaf3 Ethernet11 (IP: 10.255.255.11),PASS,
255,spine2,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet6 (IP: 10.255.255.14) - Destination: leaf4 Ethernet11 (IP: 10.255.255.15),PASS,
256,spine2,Hardware,VerifyEnvironmentCooling,Verifies the status of power supply fans and all fan trays.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentCooling test is not supported on cEOSLab
257,spine2,Hardware,VerifyEnvironmentPower,Verifies the power supplies state and input voltage.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentPower test is not supported on cEOSLab
258,spine2,Hardware,VerifyTemperature,Verifies if the device temperature is within acceptable limits.,,SKIPPED,VerifyTemperature test is not supported on cEOSLab
259,spine2,Hardware,VerifyTransceiversManufacturers,Verifies if all the transceivers come from approved manufacturers.,"Accepted Manufacturers: 'Arista Networks', 'Arastra, Inc.', 'Not Present'",SKIPPED,VerifyTransceiversManufacturers test is not supported on cEOSLab
260,spine2,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet3 - P2P_leaf1_Ethernet11 = 'up',PASS,
261,spine2,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet4 - P2P_leaf2_Ethernet11 = 'up',PASS,
262,spine2,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet5 - P2P_leaf3_Ethernet11 = 'up',PASS,
263,spine2,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet6 - P2P_leaf4_Ethernet11 = 'up',PASS,
264,spine2,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Loopback0 - ROUTER_ID = 'up',PASS,
265,spine2,Routing,VerifyRoutingProtocolModel,Verifies the configured routing protocol model.,Routing protocol model: multi-agent,PASS,
266,spine2,System,VerifyReloadCause,Verifies the last reload cause of the device.,,PASS,
